Map,Picks,Bans,Wins,Losses
Pearl,2,0,2,1
Haven,2,0,1,1
Icebox,1,1,1,1
Split,0,2,1,0
Fracture,0,3,0,0
Lotus,0,3,0,0
Ascent,1,1,1,0
